id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	IDA                   	NYSE    	     USD	   0.6700	quarterly   	 2.910	          	2020-06-01	2020-05-05	2020-05-04	2020-04-16 17:44    	IDACORP                                                                    
2  	BKEP                  	NASDAQ  	     USD	   0.0400	quarterly   	16.000	          	2020-05-14	2020-05-04	2020-05-01	2020-04-16 17:10    	Blueknight Energy Partners                                                 
3  	BKEPP                 	NASDAQ  	     USD	   0.1788	quarterly   	14.900	          	2020-05-14	2020-05-04	2020-05-01	2020-04-16 17:09    	Blueknight Energy Partners, L.P.                                           
4  	GPP                   	NASDAQ  	     USD	   0.1200	quarterly   	 8.730	          	2020-05-08	2020-05-01	2020-04-30	2020-04-16 17:08    	Green Plains Partners                                                      
5  	NPRUF                 	OTC     	     CAD	   0.1358	monthly     	 5.030	          	2020-05-15	2020-04-30	2020-04-29	2020-04-16 17:04    	Northview Apartment Real Estate Investment Trust                           
6  	WWE                   	NYSE    	     USD	   0.1200	quarterly   	 1.230	          	2020-06-25	2020-06-15	2020-06-12	2020-04-16 17:03    	World Wrestling Entertainment                                              
7  	CESDF                 	OTCPK   	        	         	            	      	          	          	          	          	2020-04-16 16:53    	CES Energy Solutions                                                       
8  	ED                    	NYSE    	     USD	   0.7650	quarterly   	 3.520	          	2020-06-15	2020-05-13	2020-05-12	2020-04-16 16:47    	Consolidated Edison                                                        
9  	CEQP                  	NYSE    	     USD	   0.6250	quarterly   	41.120	          	2020-05-15	2020-05-08	2020-05-07	2020-04-16 16:38    	Crestwood Equity                                                           
10 	PVBC                  	NASDAQ  	     USD	   0.0300	quarterly   	 1.500	          	2020-05-14	2020-04-30	2020-04-29	2020-04-16 16:37    	Provident Bancorp                                                          
11 	FNB.PE                	NYSE    	     USD	   0.4533	quarterly   	 6.830	          	2020-05-15	2020-04-30	2020-04-29	2020-04-16 16:36    	FNB Corp Deposit Shs Repr Non Cum Perp Pfd Shs Series E                    
12 	CAG                   	NYSE    	     USD	   0.2125	quarterly   	 2.540	          	2020-06-03	2020-04-30	2020-04-29	2020-04-16 16:32    	ConAgra Brands                                                             
13 	NLSN                  	NYSE    	     USD	   0.0600	quarterly   	 1.900	          	2020-06-18	2020-06-04	2020-06-03	2020-04-16 16:22    	Nielsen                                                                    
14 	OKE                   	NYSE    	     USD	   0.9350	quarterly   	13.640	          	2020-05-14	2020-04-27	2020-04-24	2020-04-16 16:19    	ONEOK                                                                      
15 	SPFI                  	NASDAQ  	     USD	   0.0300	quarterly   	 0.970	          	2020-05-11	2020-04-27	2020-04-24	2020-04-16 16:16    	South Plains Financial                                                     
16 	ALLY                  	NYSE    	     USD	   0.1900	quarterly   	 5.600	          	2020-05-15	2020-05-01	2020-04-30	2020-04-16 16:16    	Ally Financial                                                             
17 	UVE                   	NYSE    	     USD	   0.1600	quarterly   	 3.910	          	2020-05-21	2020-05-14	2020-05-13	2020-04-16 16:16    	Universal Insurance                                                        
18 	CDR.PB                	NYSE    	     USD	   0.4531	quarterly   	13.000	          	2020-05-20	2020-05-08	2020-05-07	2020-04-16 16:10    	Cedar Realty Trust Inc Cum Red Pfd Registered Series B                     
19 	CDR.PC                	NYSE    	     USD	   0.4063	quarterly   	12.070	          	2020-05-20	2020-05-08	2020-05-07	2020-04-16 16:10    	Cedar Realty Trust Cum Conv Red Pfd Registered Shs Series C                
20 	CDR                   	NYSE    	     USD	   0.0100	quarterly   	 4.690	          	2020-05-20	2020-05-08	2020-05-07	2020-04-16 16:09    	Cedar Shopping Centers                                                     
21 	BTBIF                 	OTC     	     CAD	   0.0350	monthly     	11.490	          	2020-05-15	2020-04-30	2020-04-29	2020-04-16 16:04    	BTB Real Estate Investment Trust                                           
22 	WELPM                 	OTCQB   	     USD	   1.5000	quarterly   	 4.800	          	2020-07-31	2020-07-14	2020-07-13	2020-04-16 15:37    	Wisconsin Electric Power 6% Cum Prfd Stk                                   
23 	WELPP                 	OTC     	     USD	   0.9000	quarterly   	 4.120	          	2020-06-01	2020-05-14	2020-05-13	2020-04-16 15:36    	Wisconsin Electric Power 3.60% Cum Prfd Stk                                
24 	WEC                   	NYSE    	     USD	   0.6325	quarterly   	 2.560	          	2020-06-01	2020-05-14	2020-05-13	2020-04-16 14:06    	WEC Energy                                                                 
25 	SAFM                  	NASDAQ  	     USD	   0.3200	quarterly   	 1.020	          	2020-05-12	2020-04-28	2020-04-27	2020-04-16 12:39    	Sanderson Farms                                                            
